game_id,draw_id,machine_id,ball_set_id,venue_id,source_record_id,draw_local_datetime,timezone,draw_datetime_utc,city,country,latitude,longitude,temperature_c,main_numbers,bonus_numbers,weather_observed_at,weather_match_difference,record_status,source_confidence,retrieved_at,schema_version,time_basis,location_confidence
2,THUNDERBALL-3914,Excalibur4,T4,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3914,2026-06-02T20:00:00+01:00,Europe/London,2026-06-02T19:00:00+00:00,London,GB,51.5074,-0.1278,16.6,"2, 11, 33, 37, 38",10,2026-06-02T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3913,Excalibur4,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3913,2026-05-30T20:00:00+01:00,Europe/London,2026-05-30T19:00:00+00:00,London,GB,51.5074,-0.1278,26.6,"5, 20, 24, 28, 39",2,2026-05-30T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3912,Excalibur4,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3912,2026-05-29T20:00:00+01:00,Europe/London,2026-05-29T19:00:00+00:00,London,GB,51.5074,-0.1278,23.8,"7, 13, 19, 35, 39",12,2026-05-29T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3911,Excalibur4,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3911,2026-05-27T20:00:00+01:00,Europe/London,2026-05-27T19:00:00+00:00,London,GB,51.5074,-0.1278,20.7,"4, 12, 20, 26, 36",13,2026-05-27T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3910,Excalibur4,T3,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3910,2026-05-26T20:00:00+01:00,Europe/London,2026-05-26T19:00:00+00:00,London,GB,51.5074,-0.1278,30.1,"4, 17, 24, 27, 37",6,2026-05-26T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3909,Excalibur6,T2,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3909,2026-05-23T20:00:00+01:00,Europe/London,2026-05-23T19:00:00+00:00,London,GB,51.5074,-0.1278,27.5,"14, 16, 23, 26, 35",1,2026-05-23T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3908,Excalibur6,T2,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3908,2026-05-22T20:00:00+01:00,Europe/London,2026-05-22T19:00:00+00:00,London,GB,51.5074,-0.1278,25.2,"2, 9, 13, 20, 24",8,2026-05-22T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3907,Excalibur6,T2,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3907,2026-05-20T20:00:00+01:00,Europe/London,2026-05-20T19:00:00+00:00,London,GB,51.5074,-0.1278,16.9,"1, 15, 23, 25, 30",2,2026-05-20T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3906,Excalibur6,T2,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3906,2026-05-19T20:00:00+01:00,Europe/London,2026-05-19T19:00:00+00:00,London,GB,51.5074,-0.1278,14.7,"5, 6, 15, 26, 39",1,2026-05-19T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3905,Excalibur6,T1,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3905,2026-05-16T20:00:00+01:00,Europe/London,2026-05-16T19:00:00+00:00,London,GB,51.5074,-0.1278,11.9,"16, 17, 20, 26, 29",5,2026-05-16T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3904,Excalibur6,T1,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3904,2026-05-15T20:00:00+01:00,Europe/London,2026-05-15T19:00:00+00:00,London,GB,51.5074,-0.1278,12.7,"8, 15, 26, 29, 30",13,2026-05-15T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3903,Excalibur6,T1,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3903,2026-05-13T20:00:00+01:00,Europe/London,2026-05-13T19:00:00+00:00,London,GB,51.5074,-0.1278,10.1,"10, 11, 18, 28, 29",2,2026-05-13T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3902,Excalibur6,T1,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3902,2026-05-12T20:00:00+01:00,Europe/London,2026-05-12T19:00:00+00:00,London,GB,51.5074,-0.1278,13.9,"2, 3, 4, 14, 19",11,2026-05-12T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
2,THUNDERBALL-3901,Excalibur5,T4,2,https://www.national-lottery.co.uk/results/thunderball/draw-details?drawNo=3901,2026-05-09T20:00:00+01:00,Europe/London,2026-05-09T19:00:00+00:00,London,GB,51.5074,-0.1278,17,"1, 3, 26, 27, 38",12,2026-05-09T19:00,0,verified,Open-Meteo,9/14/2026 9:49,v1.0.0,scheduled_time,verified_venue
